Date,"Time
(UTC)","Decimal Time
(UTC)","Time
Seconds
(UTC)",Channel Name,"Ocean
Region","GES ID
(octal)","Channel
Unit ID",ChannelType,SU Type,BFO(Hz),BTO(us)
7/03/2014,23:14:00.904,23.2335844444444,83640.9039999998,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,
7/03/2014,23:14:01.196,23.2336655555556,83641.1960000002,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,217,
7/03/2014,23:14:01.386,23.2337183333333,83641.3859999999,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,
7/03/2014,23:14:01.554,23.233765,83641.554,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,
7/03/2014,23:14:01.697,23.2338047222222,83641.6969999999,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,
7/03/2014,23:14:01.903,23.2338619444444,83641.9029999998,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,
7/03/2014,23:14:02.049,23.2339025,83642.049,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,
7/03/2014,23:14:02.196,23.2339433333333,83642.1959999999,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Test,216,
7/03/2014,23:14:02.386,23.2339961111111,83642.386,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:02.532,23.2340366666667,83642.5320000001,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:02.697,23.2340825,83642.697,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:02.888,23.2341355555556,83642.8880000002,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:03.071,23.2341863888889,83643.071,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,217,
7/03/2014,23:14:03.196,23.2342211111111,83643.196,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:03.386,23.2342738888889,83643.386,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:03.531,23.2343141666667,83643.5310000001,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:03.696,23.23436,83643.696,IOR-3737-21000,IOR,305,6,C-Channel RX,0x60 - Telephony Acknowledge,216,
7/03/2014,23:14:08.696,23.2357488888889,83648.696,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Status Report,220,
7/03/2014,23:14:18.697,23.2385269444444,83658.6969999998,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Status Report,218,
7/03/2014,23:14:28.696,23.2413044444444,83668.6959999998,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Status Report,222,
7/03/2014,23:14:38.696,23.2440822222222,83678.6959999999,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Status Report,220,
7/03/2014,23:14:48.696,23.24686,83688.696,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Status Report,220,
7/03/2014,23:14:58.696,23.2496377777778,83698.6960000001,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Status Report,218,
7/03/2014,23:15:01.197,23.2503325,83701.197,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Channel Release,218,
7/03/2014,23:15:01.386,23.250385,83701.386,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Channel Release,217,
7/03/2014,23:15:01.532,23.2504255555556,83701.5320000002,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Channel Release,219,
7/03/2014,23:15:01.697,23.2504713888889,83701.697,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Channel Release,219,
7/03/2014,23:15:01.886,23.2505238888889,83701.886,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Channel Release,217,
7/03/2014,23:15:02.032,23.2505644444444,83702.0319999998,IOR-3737-21000,IOR,305,6,C-Channel RX,0x30 - Call Progress - Channel Release,219,
