Leg,"Start
Latitude","Start
Longitude","Average
Flight
Level","Average
Air
Pressure
at FL
(hPa)","Average
Air
Temp
at FL
(°C)","Average
LSS","Average
Mach","Average
TAS
(knots)","Average
Wind
Speed
at FL
(knots)","Average
Wind
From
at FL
(degT)","Average
Track
(degT)","Average
Wind
Diff
(degT)","Average
Ground
Speed
(knots)","Average
Wind
Angle
(degT)","Average
Heading
(degT)","Average
∂ GS
vs TAS
(knots)","Average
Along Track
Wind
at FL
(knots)","Average
Cross Track
Wind
at FL
(knots)"
19:30:00 to 19:41:03,0.188394493770205,93.7206710773683,360.0,227.2883,-46.3726052583907,586.665689805163,0.83995757935651,492.774137774697,23.3245290191196,85.323520439699,186.132854159701,98.6560501843712,496.132045285537,2.15328353563053,183.97957062407,3.35790751084055,3.71067335566856,18.5245785679469
19:41:03 to 20:41:05,-2.2867,93.4792,359.508196721311,227.835667213115,-46.264183034274,586.805066445908,0.833081243571422,488.710245871886,13.1297788850416,78.1971948490793,177.477984968082,98.2823819378901,489.641048988902,0.998408181113053,176.479576786969,0.930803117016131,1.04874430397504,8.48532359808577
20:41:05 to 21:41:27,-7.38522006703012,92.9206964580852,362.704918032787,225.092506557377,-47.0404841946214,585.75862651615,0.835770683256239,489.568621961336,11.3987498677239,70.4724680897983,162.794861327273,91.3326186530607,489.956720779639,0.989774584414381,161.805086742859,0.388098818302623,0.476524095668357,8.48848437081093
21:41:27 to 22:41:22,-13.54561623,93.71016665,385.0,201.376,-52.9154873508792,578.140515902916,0.845409836065574,488.765558668398,8.97322846323808,151.647434249231,154.906982644833,3.22814193640135,487.072132934563,0.0314064592001144,154.875576185633,-1.69342573383446,-1.61188645603301,0.269198943086745
22:41:22 to 00:11:00,-20.772790733825,95.2326176391564,395.274725274725,201.376,-54.0883318064313,576.598698670144,0.845,487.225900376271,51.2078615561436,267.702281529901,164.815915066551,-99.3690010641852,504.221333470035,-3.13015027167756,168.333280465716,16.9954330937634,18.8916026126049,-26.5874282984581
00:11:00 to 00:20:00,-29.2487272136168,100.407623566352,405.0,201.376,-50.9692834588737,580.594087562228,0.845,420.941354448477,57.4691925876833,294.912198037164,267.695568502346,-26.9815876488525,378.3144640996,0.976568983992007,267.930610388312,-42.6268903488768,-42.286928351321,6.80836941853874
